Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Netlink Software,3.7,205,Private,Madison Heights + 15 more,1k-5k Employees (India),24
Hical Technologi...,3.7,205,Private,"Bangalore/Bengaluru,Karnataka + 2 more",501-1k Employees (India),34
Owens Corning,4.1,205,Private,"Toledo,Ohio + 7 more",1k-5k Employees (India),84
Hitachi Hi-Rel P...,3.8,205,Private,"Ahmedabad,Gujarat + 22 more",501-1k Employees (India),39
Novateur Electri...,3.9,205,Private,Chennai + 51 more,501-1k Employees (India),38
SOLAR INDUSTRIES...,4.0,205,Public,"Nagpur,Maharashtra + 24 more",5k-10k Employees (India),27
MT Educare,3.5,205,Public,"Mumbai,Maharashtra + 21 more",1k-5k Employees (India),34
ManipalCigna Hea...,4.0,205,JV,"Mumbai,Maharashtra + 63 more",1k-5k Employees (India),10
The Louis Berger...,4.0,205,Private,Montreal + 29 more,10k-50k Employees (India),137
Nestaway,3.8,205,Private,"Bangalore,Karnataka + 12 more",201-500 Employees (India),7
Muthoot Pappacha...,4.0,3100,Private,"Trivandrum/Thiruvananthapuram,Kerala + 60 more",10k-50k Employees (India),135
Infosys Consulti...,3.8,245,unknown,Zurich + 22 more,1 Lakh+ Employees (India),18
NTT-Netmagic,4.2,204,Private,"Mumbai,Maharashtra + 12 more",201-500 Employees (India),24
Buhler,3.9,204,Private,"Uzwil,St. Gallen + 19 more",501-1k Employees (India),162
LogixHealth,3.5,204,Private,"Bedford,Massachusetts + 4 more",501-1k Employees (India),32
Tally Solutions,4.4,204,Private,"Bangalore/Bengaluru,Karnataka + 45 more",501-1k Employees (India),36
Essilor,4.0,204,Private,Charenton-le-Pont + 31 more,501-1k Employees (India),173
Four Points By S...,4.5,204,unknown,"Bethesda,Maryland + 28 more",501-1k Employees (India),27
Carl Zeiss,3.8,204,Private,Stuttgart + 22 more,501-1k Employees (India),13
Astral Polytechn...,4.2,204,Public,"Ahmedabad,Gujarat + 41 more",501-1k Employees (India),26
Aeronautical Dev...,4.2,204,Private,"Bangalore/Bengaluru,Karnataka + 1 more",51-200 Employees (India),38
Orient Bell,4.0,204,Public,"Delhi/NCR,Delhi + 42 more",501-1k Employees (India),45
Go First,3.3,204,Public,"Mumbai,Maharashtra + 25 more",1k-5k Employees (India),17
TOPS,4.0,204,Private,"Delhi,NCT + 27 more",501-1k Employees (India),38
ESDS Software So...,4.1,204,Private,"Nashik,Maharashtra + 11 more",501-1k Employees (India),17
ACG Associated C...,3.9,204,unknown,"Mumbai,Maharashtra + 9 more",1k-5k Employees (India),58
Kiya.ai,3.3,204,unknown,"Mumbai,Maharashtra + 5 more",201-500 Employees (India),27
National Enginee...,4.0,204,Private,"Jaipur,Rajasthan + 17 more",1k-5k Employees (India),76
Powerica,4.2,203,Private,"Mumbai,Maharashtra + 20 more",501-1k Employees (India),38
American Axle & ...,4.3,203,Private,"Detroit,Michigan + 8 more",501-1k Employees (India),28
Airtel DTH Servi...,4.2,203,unknown,Gurgaon + 73 more,5k-10k Employees (India),14
Bonfiglioli Tran...,3.9,203,Private,"Lippo Di Calderara Di Reno,Bologna + 10 more",201-500 Employees (India),66
Rusan Pharma,3.2,203,Private,"Mumbai,Maharashtra + 9 more",501-1k Employees (India),28
Nilons Enterpris...,4.1,203,Private,"Pune,Maharashtra + 29 more",501-1k Employees (India),60
GKC Projects,4.1,203,Private,"Hyderabad/Secunderabad,Telangana + 22 more",501-1k Employees (India),26
Basicfirst Learn...,3.6,203,Private,"Bengaluru/Bangalore,Karnataka + 26 more",51-200 Employees (India),4
Shangri-la Hotel...,4.4,203,Public,Hong Kong + 17 more,501-1k Employees (India),51
Roche Diagnostic...,3.9,203,Private,"Basel,Basel City + 25 more",201-500 Employees (India),126
NTTF,4.0,202,Private,"Bangalore/Bengaluru,Karnataka + 29 more",501-1k Employees (India),59
Data Entry,3.8,202,Private,New Delhi + 73 more,51-200 Employees (India),23
Piramal Swasthya,3.9,202,unknown,"Hyderabad/Secunderabad,Telangana + 32 more",10k-50k Employees (India),15
Fenesta Building...,4.2,202,Private,"Gurgaon/Gurugram,Haryana + 39 more",501-1k Employees (India),19
LiquidHub,3.8,202,Private,Wayne + 8 more,1k-5k Employees (India),21
Sistema Shyam Te...,4.9,202,Private,Gurugram + 40 more,1k-5k Employees (India),27
Mirza Internatio...,4.1,202,Public,"Kanpur,Uttar Pradesh + 25 more",1k-5k Employees (India),43
Algonomy,4.2,202,Private,"Bangalore,Karnataka + 9 more",201-500 Employees (India),18
ToXSL Technologi...,4.6,202,Private,"Mohali,Punjab + 25 more",51-200 Employees (India),10
Housejoy,4.5,202,Private,"Bangalore,Karnataka + 17 more",201-500 Employees (India),8
TravelTriangle,4.1,202,Private,"Noida,Uttar Pradesh + 6 more",51-200 Employees (India),12
BCH Electric,4.2,202,Private,"Delhi/NCR,New Delhi + 23 more",501-1k Employees (India),57
Syrma Technology,4.0,202,Private,"Chennai,Tamil Nadu + 8 more",201-500 Employees (India),18
Gallagher Offsho...,3.9,202,Private,Pune + 4 more,11-50 Employees (India),16
Adient,4.0,202,Private,"Plymouth,MI + 11 more",501-1k Employees (India),26
Kaynes Technolog...,3.5,202,Private,Mysore + 9 more,501-1k Employees (India),34
Hamdard,4.2,202,NGO/NPO,"Delhi/NCR,Delhi + 37 more",501-1k Employees (India),116
Quinnox,4.1,202,Private,"Chicago,Illinois + 4 more",1k-5k Employees (India),20
GAVS Technologie...,4.2,202,Private,"Princeton,New Jersey + 8 more",1k-5k Employees (India),24
Global Indian In...,4.3,202,Private,Singapore + 16 more,201-500 Employees (India),14
Solara Active Ph...,3.8,202,Public,"Chennai,Tamil Nadu + 11 more",1k-5k Employees (India),4
ICRA,3.8,287,Public,"Gurgaon/Gurugram,Haryana + 13 more",201-500 Employees (India),31
Regalix,3.3,201,Private,San Mateo + 2 more,1k-5k Employees (India),17
Health Total,3.6,201,Private,"Mumbai,Maharashtra + 11 more",11-50 Employees (India),25
Accelya Solution...,3.7,201,Private,"Mumbai,Maharashtra + 6 more",1k-5k Employees (India),36
Indian Overseas ...,3.8,201,Private,"Chennai,Tamil Nadu + 54 more",10k-50k Employees (India),85
Kokuyo Camlin,3.9,201,Public,"Mumbai,Maharashtra + 42 more",1k-5k Employees (India),91
AIS Glass Soluti...,3.7,201,Private,Gurgaon + 25 more,51-200 Employees (India),38
Siemens Healthca...,4.3,201,Private,Erlangen + 19 more,1k-5k Employees (India),126
Dynacons Systems...,3.8,201,Private,"Mumbai,Maharashtra + 41 more",1k-5k Employees (India),27
Boehringer-Ingel...,4.1,201,Private,Ingelheim + 35 more,1k-5k Employees (India),137
Nuance Transcrip...,3.8,201,Private,"Burlington,Massachusetts + 9 more",1k-5k Employees (India),23
Mungi Group,3.7,201,Private,"Pune,Maharashtra + 3 more",201-500 Employees (India),38
Maharashtra Hybr...,4.2,201,Private,"Jalna,Maharashtra + 43 more",1k-5k Employees (India),58
Aabasoft,4.4,201,Private,"Kochi/Cochin,Kerala + 4 more",501-1k Employees (India),20
L&T Heavy Engine...,4.5,201,unknown,"Surat,Gujarat + 8 more",1k-5k Employees (India),39
Altruist Custome...,3.3,201,unknown,Panchkula + 12 more,10k-50k Employees (Global),12
Naaptol Online S...,3.2,201,Private,"Mumbai,Maharashtra + 21 more",51-200 Employees (India),14
Capco Technologi...,3.9,201,Private,London + 9 more,1k-5k Employees (India),24
Talbros,3.8,241,Public,"Gurgaon/Gurugram,Haryana + 11 more",501-1k Employees (India),66
Madura Micro Fin...,4.2,200,Private,"Chennai,Tamil Nadu + 63 more",501-1k Employees (India),16
EMCO,3.9,200,Public,"Mumbai,Maharashtra + 23 more",51-200 Employees (India),58
B2x Service Solu...,3.4,200,Private,"Munich,Bavaria + 30 more",201-500 Employees (India),15
Uae Exchange & F...,4.0,200,Private,Abu Dhabi + 67 more,501-1k Employees (India),42
Tube Investments...,4.3,200,Public,Chennai + 28 more,1k-5k Employees (India),63
Kennametal,3.9,200,Public,"Latrobe,Pennsylvania + 7 more",1k-5k Employees (India),84
Titan Laboratori...,3.8,200,Private,"Mumbai,Maharashtra + 9 more",201-500 Employees (India),18
Seven Hills Hosp...,3.9,200,Private,"Mumbai,Maharashtra + 9 more",1k-5k Employees (Global),36
Harman Finochem,3.8,200,Private,"Mumbai,Maharashtra + 8 more",501-1k Employees (India),15
Writer Corporati...,3.7,733,Private,"Mumbai,Maharashtra + 35 more",10k-50k Employees (India),69
Stryker,4.3,199,Public,"Kalamazoo,Michigan + 16 more",1k-5k Employees (India),81
Aliens Group,3.9,199,Private,"Hyderabad/Secunderabad,Telangana + 4 more",501-1k Employees (India),18
Roop Automotives,4.4,199,Private,"Gurgaon/Gurugram,Haryana + 5 more",501-1k Employees (India),32
Army Medical Cor...,4.7,199,Govt Organisation,"Delhi/NCR,Delhi + 32 more",50k-1 Lakh Employees (India),258
Indiabulls Real ...,4.4,199,Public,"Mumbai,Maharashtra + 19 more",501-1k Employees (India),16
Walchandnagar In...,3.7,199,Public,"Mumbai,Maharashtra + 10 more",501-1k Employees (India),114
Kailash Hospital,4.1,199,Public,Noida + 15 more,5k-10k Employees (India),38
Hamilton Housewa...,3.9,199,Private,"Mumbai,Maharashtra + 16 more",1k-5k Employees (India),50
ANAROCK Property...,3.9,199,Private,"Mumbai,Maharashtra + 19 more",1k-5k Employees (India),5
Holcim,3.5,198,Private,Navi Mumbai + 23 more,1k-5k Employees (India),110
Polyplastics Ind...,3.9,198,Private,Tokyo + 12 more,1k-5k Employees (India),52
Nesma & Partners,4.5,198,Private,Jeddah + 14 more,51-200 Employees (India),41
Alfa Laval,4.1,198,Private,"Lund,Skane + 15 more",1k-5k Employees (India),139
Gilbarco Veeder ...,3.9,198,Private,Greensboro + 27 more,1k-5k Employees (India),157
Polyplastics Ind...,3.9,198,Private,Tokyo + 12 more,1k-5k Employees (India),52
Munjal Auto Indu...,3.9,198,Public,"Gurgaon/Gurugram,Haryana + 10 more",1k-5k Employees (India),37
Nesma & Partners,4.5,198,Private,Jeddah + 14 more,51-200 Employees (India),41
Rane Brake Linin...,4.3,198,Public,"Chennai,Tamil Nadu + 11 more",201-500 Employees (India),58
Origo Commoditie...,3.9,198,Private,"Gurgaon,Haryana + 43 more",1k-5k Employees (India),12
Polybond India,3.8,198,Private,"Pune,Maharashtra + 6 more",1k-5k Employees (India),44
Mothers Recipe,4.2,198,Private,"Pune,Maharashtra + 34 more",501-1k Employees (India),121
Wolters Kluwer,3.8,198,unknown,"Alphen Aan Den Rijn,South Holland + 11 more",1k-5k Employees (India),186
Healthcare At Ho...,4.2,198,Private,"Noida,Uttar Pradesh + 24 more",201-500 Employees (India),10
IMS People,3.7,197,Private,Ahmedabad + 16 more,501-1k Employees (India),16
Sunflag Iron and...,4.1,197,Private,"Nagpur,Maharashtra + 12 more",201-500 Employees (India),38
Sany Heavy Indus...,4.0,197,Private,"Beijing,Beijing + 33 more",501-1k Employees (India),33
2COMS,3.7,197,Private,"Kolkata,West Bengal + 33 more",10k-50k Employees (India),23
Ruby Hall Clinic,4.0,197,NGO/NPO,Pune + 5 more,201-500 Employees (India),63
Lotus Herbals,4.4,197,Private,"Mumbai,Maharashtra + 32 more",1k-5k Employees (India),29
NVH India Auto P...,3.7,197,Private,"Buk-gu,Ulsan + 7 more",201-500 Employees (India),38
Nitco,4.3,197,Public,"Mumbai,Maharashtra + 36 more",1k-5k Employees (India),69
Louis Philippe,4.3,197,Private,"Bangalore/Bengaluru,Karnataka + 51 more",1k-5k Employees (India),33
TIBCO Software,4.3,197,Private,"Palo Alto,California + 7 more",1k-5k Employees (India),25
Vulcan Express,4.1,197,Private,Gurgaon + 39 more,1-10 Employees (India),9
Joyalukkas,4.0,197,Private,Dubai + 48 more,201-500 Employees (India),35
Clariant Chemica...,4.3,197,Public,"Muttenz,Bael-Country + 15 more",501-1k Employees (India),27
Kirloskar Ferrou...,4.0,197,Public,"Koppal,Karnataka + 9 more",1k-5k Employees (India),31
Elentec India,4.0,197,Private,"Hwasung City,South Korea + 15 more",11-50 Employees (India),40
East India Udyog,4.0,197,Public,"Ghaziabad,Uttar Pradesh + 28 more",201-500 Employees (India),56
Mahindra Susten,4.3,197,Private,"Mumbai,Maharashtra + 23 more",501-1k Employees (India),12
IKEA,4.3,197,Private,Delft + 13 more,10k-50k Employees (India),79
Silver Touch Tec...,3.7,197,Public,"Ahmedabad,Gujarat + 21 more",1k-5k Employees (India),30
NortonLifeLock's...,4.2,496,Private,"Mountain View,California + 3 more",501-1k Employees (India),40
Mukand,3.9,294,Public,"Mumbai,Maharashtra + 12 more",1k-5k Employees (India),85
Etisalat,3.6,233,Public,"Abu Dhabi,Abu Dhabi + 10 more",1k-5k Employees (India),46
LanceSoft,3.7,196,Private,Herndon + 15 more,201-500 Employees (India),22
Roquette Riddhi ...,3.7,196,Private,Lestrem + 11 more,1k-5k Employees (India),89
Maxop Engineerin...,4.1,196,unknown,"Delhi/NCR,Delhi + 7 more",201-500 Employees (India),19
GSP Crop Science,3.8,196,Private,"Ahmedabad,Gujarat + 24 more",501-1k Employees (India),37
Aegon Life Insur...,3.9,196,Private,Mumbai + 33 more,1k-5k Employees (India),15
UDAAN CARGO & LO...,4.4,196,Private,New Delhi + 58 more,201-500 Employees (India),7
Entrata India,4.3,196,Private,"Provo,Utah",501-1k Employees (India),19
Luxoft,4.4,196,LLP,Zug + 10 more,1k-5k Employees (India),22
Moody's Analytic...,3.9,196,Private,"New York,New York + 5 more",501-1k Employees (India),15
National Stock E...,3.6,195,Private,"Mumbai,Maharashtra + 23 more",501-1k Employees (India),30
IPE Global,4.2,195,Public,New Delhi + 54 more,1k-5k Employees (India),24
Country Club Ind...,3.4,195,Private,"Hyderabad/Secunderabad,Telangana + 25 more",5k-10k Employees (India),37
Raptakos Brett a...,3.6,195,Public,"Mumbai,Maharashtra + 33 more",201-500 Employees (India),92
Pepperfry,3.6,195,Private,"Mumbai,Maharashtra + 22 more",201-500 Employees (India),11
Allanasons,3.7,195,Private,Mumbai + 20 more,501-1k Employees (India),157
Windlas Biotech,4.1,195,unknown,Gurugram + 9 more,501-1k Employees (India),21
Amazon seller se...,4.4,195,unknown,Hyderabad/Secunderabad + 36 more,50k-1 Lakh Employees (India),unknown
Hyundai Heavy In...,4.4,195,Public,Ulsan + 20 more,201-500 Employees (India),50
Bsh Household Ap...,4.2,195,unknown,"Munich,Munich + 27 more",1k-5k Employees (India),55
CMR Engineering ...,4.7,195,unknown,Hyderabad + 3 more,201-500 Employees (India),12
Thryve Digital,4.3,195,LLP,"Chennai,Tamil Nadu + 2 more",1k-5k Employees (India),6
Gainwell Commosa...,4.1,195,Private,"Kolkata,West Bengal + 38 more",1k-5k Employees (India),78
Konecranes,4.0,194,Private,Hyvinkää + 10 more,501-1k Employees (India),47
Asian Granito In...,3.9,194,Public,"Ahmedabad,Gujrat + 36 more",1k-5k Employees (India),22
Telecom Network ...,3.9,194,Private,"Noida,Uttar Pradesh + 29 more",501-1k Employees (India),21
Bhandari Automob...,4.0,194,Private,"Midnapore,West Bengal + 17 more",501-1k Employees (India),44
Shriram Chits,4.0,194,Private,"Mumbai,Maharashtra + 67 more",1k-5k Employees (India),48
Mitsubishi Elect...,4.6,194,unknown,Gurgaon/Gurugram + 10 more,unknown,unknown
Shriram Chits,4.0,194,Private,"Mumbai,Maharashtra + 67 more",1k-5k Employees (India),48
Konecranes,4.0,194,Private,Hyvinkää + 10 more,501-1k Employees (India),47
Sun Pharma Labor...,4.2,194,unknown,"Mumbai,Maharashtra + 32 more",10k-50k Employees (India),39
Mfar Constructio...,4.0,194,Private,"Bangalore/Bengaluru,Karnataka + 9 more",501-1k Employees (India),26
Axtria,3.6,194,Private,"Berkeley Heights,New Jersey + 5 more",1k-5k Employees (India),12
McAfee,4.0,200,Private,"Santa Clara,California + 7 more",1k-5k Employees (India),35
Ciena,4.3,193,Private,"Hanover,Maryland + 9 more",1k-5k Employees (India),30
Harjai Computers,4.4,193,Private,"Mumbai,Maharashtra + 6 more",201-500 Employees (India),27
Tommy Hilfiger,4.3,193,Private,"Amsterdam,North Holland + 34 more",1k-5k Employees (India),37
Lambda Therapeut...,3.8,193,Private,Ahmedabad + 4 more,501-1k Employees (India),24
Vayam Info Solut...,3.7,193,unknown,Noida + 24 more,201-500 Employees (India),12
Delhi Metro Rail...,4.0,193,Public,"Delhi/NCR,New Delhi + 18 more",10k-50k Employees (India),27
Krsnaa Diagnosti...,3.7,193,Private,"Pune,Maharashtra + 34 more",51-200 Employees (India),12
Smaaash Entertai...,3.9,193,Private,"Mumbai,Maharashtra + 20 more",501-1k Employees (India),13
National Organic...,4.2,193,Public,"Mumbai,Maharashtra + 10 more",51-200 Employees (India),47
Smart Value Prod...,4.3,193,Private,"Delhi/NCR,Delhi + 52 more",51-200 Employees (India),16
REPCO HOME FINAN...,3.8,193,Public,Chennai + 60 more,501-1k Employees (India),22
Axa XL,3.8,193,unknown,Hamilton + 4 more,1k-5k Employees (India),36
Mavenir Systems,3.9,193,Private,"Richardson,Texas + 10 more",1k-5k Employees (India),17
Sharda Universit...,3.8,193,Private,Greater Noida + 10 more,1k-5k Employees (India),13
Quantiphi Analyt...,3.7,193,Private,"Mumbai,Maharashtra + 5 more",1k-5k Employees (India),9
Madhucon Project...,3.6,336,Public,"Hyderabad/Secunderabad,Telangana + 23 more",1k-5k Employees (India),39
CPA Global,4.0,192,Private,"St Helier,New Jersey + 4 more",1k-5k Employees (India),53
A2Z Group,4.0,192,Private,Gurgaon + 35 more,51-200 Employees (India),20
Magma HDI Genera...,4.1,192,JV,"Mumbai,Maharashtra + 60 more",1k-5k Employees (India),10
Park Hospital,3.6,192,unknown,"Gurgaon/Gurugram,Haryana + 13 more",501-1k Employees (Global),40
Bonace Engineers,4.0,192,Private,"Mumbai,Maharashtra + 22 more",201-500 Employees (India),27
Kirloskar Electr...,3.9,192,Public,"Bangalore/Bengaluru,Karnataka + 19 more",1k-5k Employees (India),76
Bses Yamuna Powe...,3.6,192,unknown,New Delhi + 2 more,501-1k Employees (India),20
Talwalkars Bette...,3.6,192,Public,"Mumbai,Maharashtra + 52 more",201-500 Employees (India),90
RSPL GHARI DETER...,4.3,192,unknown,Kanpur + 52 more,501-1k Employees (India),35
Health Care Glob...,3.8,192,Public,"Bangalore/Bengaluru,Karnataka + 27 more",1k-5k Employees (India),33
Religare,4.0,1600,Public,"New Delhi,Delhi + 55 more",10k-50k Employees (India),38
Invesco,4.1,191,Private,"Atlanta,Atlanta + 3 more",1k-5k Employees (India),87
Bharat Dynamics,4.5,191,Private,"Hyderabad/Secunderabad,Telangana + 1 more",1k-5k Employees (India),52
Western Refriger...,4.3,191,Private,"Mumbai,Maharashtra + 25 more",501-1k Employees (India),50
Dnata,4.2,191,Private,"Dubai,Dubai + 17 more",501-1k Employees (India),63
Ksb Pumps,3.8,191,Private,"Frankenthal,Rhineland-Palatinate + 28 more",1k-5k Employees (India),151
Indo German Tool...,3.9,191,Private,"Ahmedabad,Gujarat + 12 more",51-200 Employees (India),27
Pearl Global Ind...,3.8,191,Public,"Gurgaon/Gurugram,Haryana + 10 more",501-1k Employees (India),35
Shivam Infocom,3.7,191,Private,"Delhi/NCR,Delhi + 29 more",1k-5k Employees (India),19
Somic ZF Compone...,4.3,191,Private,"Gurgaon/Gurugram,Haryana + 10 more",201-500 Employees (India),27
National Payment...,3.4,191,Private,"Mumbai,Maharashtra + 9 more",501-1k Employees (India),17
Applied Material...,4.4,191,Private,"Santa Clara,California + 8 more",1k-5k Employees (India),20
TATA Advanced Ma...,3.8,190,Public,"Bangalore/Bengaluru,Karnataka + 1 more",501-1k Employees (India),32
TNT Express,4.5,190,Private,"Hoofddorp,North Holand + 29 more",501-1k Employees (India),76
Aludecor Laminat...,4.1,190,Private,"Kolkata,West Bengal + 25 more",201-500 Employees (India),18
Allianz Partners,4.0,190,unknown,Saint-Ouen + 8 more,501-1k Employees (India),8
GMR Energy,4.5,190,Public,"Delhi,NCT + 23 more",1k-5k Employees (India),26
Jupiter Hospital,4.1,190,Private,"Thane,Maharashtra + 5 more",1k-5k Employees (India),15
Capital small Fi...,4.1,190,unknown,Jalandhar + 38 more,1k-5k Employees (India),23
Kcc Buildcon,4.0,190,Private,"Gurgaon/Gurugram,Haryana + 26 more",201-500 Employees (India),13
Instrakart Pvt L...,4.1,190,unknown,Bengaluru/Bangalore + 55 more,1k-5k Employees (India),unknown
Dr. Agarwal's Ey...,4.1,190,Public,"Chennai,Tamil Nadu + 27 more",1k-5k Employees (India),65
Nuziveedu Seeds,4.2,190,Public,"Hyderabad/Secunderabad,Telangana + 42 more",1k-5k Employees (India),49
Mettler-Toledo,3.5,190,Private,"Greifensee,Zurich + 17 more",501-1k Employees (India),76
Mitsui O.S.K. Li...,4.1,335,Private,"Toranomon,Tokyo + 9 more",51-200 Employees (India),138
Orchid Chemicals...,4.1,303,Private,"Chennai,Tamil Nadu + 21 more",1k-5k Employees (India),30
Matrix Cellular ...,3.1,189,Private,Delhi + 18 more,51-200 Employees (India),27
