Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Cgi Group,4.2,2000,Private,"Montreal,Quebec + 13 more",10k-50k Employees (India),31
Lava Internation...,4.2,1900,Public,"Noida,Uttar Pradesh + 202 more",1k-5k Employees (India),13
Honda Motorcycle...,4.2,1800,Private,"Gurgaon/Gurugram,Haryana + 163 more",1k-5k Employees (India),23
Standard Charter...,4.2,5400,Private,London + 57 more,10k-50k Employees (India),53
Reliance Nippon ...,3.9,1800,Private,"Mumbai,Maharashtra + 377 more",10k-50k Employees (India),22
Pidilite Industr...,4.4,1900,Public,"Mumbai,Maharashtra + 169 more",5k-10k Employees (India),63
Havells,4.2,2000,Public,"Noida,Uttar Pradesh + 119 more",5k-10k Employees (India),39
KocharTech,4.5,1800,Private,"Gurgaon/Gurugram,Haryana + 20 more",1k-5k Employees (India),27
DCB Bank,4.0,1800,Private,"Mumbai,Maharashtra + 233 more",5k-10k Employees (India),92
Ipca Laboratorie...,4.1,1800,Public,"Mumbai,Maharashtra + 99 more",10k-50k Employees (India),73
Piramal Capital ...,4.3,1800,unknown,Mumbai + 217 more,1k-5k Employees (India),4
Bajaj Electrical...,4.1,1800,Public,"Mumbai,Maharashtra + 160 more",5k-10k Employees (India),84
Indian Oil Corpo...,4.4,2000,Private,"Delhi/NCR,Delhi + 175 more",10k-50k Employees (India),63
24/7 Customer,3.6,1800,Private,"San Jose,California + 20 more",5k-10k Employees (India),22
Titan Company,4.4,2400,Public,"Mumbai,Maharashtra + 120 more",5k-10k Employees (India),4
Conduent,3.6,1800,Private,"Florham Park,New Jersey + 19 more",5k-10k Employees (India),5
Future Retail,4.2,4400,Public,"San Francisco,California + 185 more",10k-50k Employees (India),35
Maersk,4.4,2200,Private,Copenhagen + 21 more,10k-50k Employees (India),118
Hindalco Industr...,4.3,1800,Public,"Mumbai,Maharashtra + 64 more",10k-50k Employees (India),64
Tata Teleservice...,4.2,1700,Public,"Mumbai,Maharashtra + 152 more",201-500 Employees (India),26
State Street Syn...,3.8,1700,Private,Mumbai + 12 more,501-1k Employees (India),18
MRF Tyres,3.7,1900,Public,"Chennai,Tamil Nadu + 158 more",10k-50k Employees (India),76
CARS24,3.8,1700,Private,"Gurgaon,Haryana + 133 more",5k-10k Employees (India),7
Tractors and Far...,4.2,1700,Public,"Chennai,Tamil Nadu + 131 more",5k-10k Employees (India),62
Huawei Technolog...,3.8,1700,Private,"Gurgaon/Gurugram,Haryana + 88 more",5k-10k Employees (India),20
Jindal Steel and...,4.0,2000,Private,"Delhi/NCR,New Delhi + 88 more",5k-10k Employees (India),70
Team Lease,4.1,1700,Public,"Bangalore/Bengaluru,Karnataka + 186 more",1k-5k Employees (India),6
Torrent Pharmace...,4.1,1700,Public,"Ahmedabad,Gujrat + 86 more",10k-50k Employees (India),51
Vishal Mega Mart,3.9,1700,Private,"Ahmedabad,Gujrat + 236 more",10k-50k Employees (India),14
L&T Technology S...,3.4,1700,Public,"Vadodara/Baroda,Gujarat + 23 more",10k-50k Employees (India),10
RSPL Group,4.1,1700,Private,"Mumbai,Maharashtra + 141 more",1k-5k Employees (India),35
Ceat Tyres,4.1,1800,Public,"Mumbai,Maharashtra + 95 more",5k-10k Employees (India),64
ACC,4.0,1700,Public,"Mumbai,Maharashtra + 170 more",5k-10k Employees (India),86
PNB MetLife,3.7,1700,Private,"Mumbai,Maharashtra + 236 more",5k-10k Employees (India),21
Rivigo,3.9,1700,Private,"Gurgaon,Haryana + 144 more",1k-5k Employees (India),8
Bank of America,4.5,2800,Private,Charlotte + 26 more,10k-50k Employees (India),24
Capita,3.9,1700,Private,"Indore,Madhya Pradesh + 16 more",1k-5k Employees (India),17
Tata AIA Life In...,4.0,1600,Private,"Mumbai,Maharashtra + 191 more",10k-50k Employees (India),21
Radisson Hotels,3.9,1700,Private,"Minnetonka,Minnesota + 89 more",10k-50k Employees (India),113
KPIT Technologie...,3.6,1600,Public,"Pune,Maharashtra + 20 more",5k-10k Employees (India),32
ITC Infotech In...,3.6,1600,Private,"Bangalore/Bengaluru,Karnataka + 39 more",5k-10k Employees (India),22
Dilip Buildcon,4.1,1600,Public,"Bhopal,Madhya Pradesh + 134 more",10k-50k Employees (India),35
Ekart Logistics,4.3,1600,Private,"San Francisco,California + 382 more",5k-10k Employees (India),13
RBL Bank,3.8,1600,Public,"Mumbai,Maharashtra + 173 more",10k-50k Employees (India),79
Patanjali Ayurve...,4.1,1600,Private,"Haridwar,Uttarakhand + 215 more",5k-10k Employees (India),16
Dabur,4.1,1600,Public,"Ghaziabad,Uttar Pradesh + 181 more",5k-10k Employees (India),138
Kotak Mahindara ...,3.9,1600,Public,"Mumbai,Maharashtra + 159 more",10k-50k Employees (India),21
Apollo Tyres,4.2,1900,Public,"Gurgaon/Gurugram,Haryana + 128 more",5k-10k Employees (India),50
Biocon Biologics...,4.0,1600,Public,"Bangalore/Bengaluru,Karnataka + 56 more",10k-50k Employees (India),44
Publicis Sapien...,3.9,1600,Private,"New York,New York + 16 more",1k-5k Employees (India),32
IndiGo,3.5,1600,Private,"Boston,Massachusetts + 70 more",10k-50k Employees (India),17
HDFC Ergo Genera...,4.0,1600,Public,"Mumbai,Maharashtra + 170 more",5k-10k Employees (India),20
Landmark Group,4.3,4800,Private,"Dubai Marina,Dubai + 100 more",1k-5k Employees (India),49
Eureka Forbes,4.0,1600,Private,"Mumbai,Maharashtra + 147 more",5k-10k Employees (India),40
Ola Cabs,3.6,2200,Private,Bangalore + 83 more,10k-50k Employees (India),12
JK Cement,4.2,1500,Public,"Gurgaon/Gurugram,Haryana + 183 more",1k-5k Employees (India),48
Suzuki,4.1,7200,Private,"Vadodara/Baroda,Gujarat + 129 more",10k-50k Employees (India),8
Max Healthcare,4.2,1600,Partnership,"Delhi/NCR,New Delhi + 50 more",1k-5k Employees (India),21
Lifestyle,4.4,1700,Private,"Bangalore/Bengaluru,Karnataka + 90 more",10k-50k Employees (India),23
GeBBS Healthcare...,3.9,1500,Private,"Culver City,California + 11 more",5k-10k Employees (India),17
Escorts Group,4.2,1700,Public,"Faridabad,Haryana + 93 more",10k-50k Employees (India),62
Berger Paints,3.8,1600,Public,"Kolkata,West Bengal + 179 more",1k-5k Employees (India),99
Pfizer,4.2,4800,Public,"Chennai,Tamil Nadu + 95 more",5k-10k Employees (India),18
Fiserv,3.9,1500,Private,"Brookfield,Wisconsin + 26 more",5k-10k Employees (India),38
Nestle,4.1,1700,Public,Vevey + 180 more,10k-50k Employees (India),63
Aakash Institute,3.6,1800,Private,"New Delhi,Delhi + 135 more",1k-5k Employees (India),34
HCL Infosystems,3.9,1500,Public,"Noida,Uttar Pradesh + 98 more",10k-50k Employees (India),46
Blue Dart Expres...,4.2,1600,Public,"Mumbai,Maharashtra + 184 more",10k-50k Employees (India),39
Utkarsh Small Fi...,4.0,1500,Public,"Varanasi,Uttar Pradesh + 205 more",10k-50k Employees (India),13
Aarti Industries,4.2,1500,Public,"Mumbai,Maharashtra + 33 more",5k-10k Employees (India),47
Reliance Digital,4.3,1500,Private,"Mumbai,Maharashtra + 211 more",5k-10k Employees (India),15
Mankind Pharma,4.2,1700,Private,"New Delhi,Delhi + 140 more",5k-10k Employees (India),27
JMC Projects,4.3,1500,Public,"Mumbai,Maharashtra + 89 more",1k-5k Employees (India),40
Tata AIG,4.1,1500,Private,"Mumbai,Maharashtra + 179 more",5k-10k Employees (India),22
PolicyBazaar,3.7,1500,Public,"Gurgaon,Haryana + 30 more",5k-10k Employees (India),14
